node,degree,clustering,betweeness,centrality,triangles,eccentricity,closeness,page_rank,eigen_centrality,square_clustering,clique,degree_average_voisin,katz
Georgio,5,0.2,0.008906055178599928,0.02564102564102564,2,6,0.35648994515539306,0.0038635884671458704,0.04043000428305061,0.008213552361396304,4,17.2,
Azur,2,1.0,0.0,0.010256410256410256,1,8,0.1871401151631478,0.0033638043918282675,7.321873032398056e-05,0.0,1,4.0,
Dany Dan,6,0.06666666666666667,0.016307124485305368,0.03076923076923077,1,7,0.30139103554868624,0.00545273924437148,0.015519909097859509,0.030303030303030304,5,6.0,
Chilla,5,0.4,0.00254147561398439,0.02564102564102564,4,6,0.35911602209944754,0.003656178279869545,0.0417822698113683,0.010084033613445379,4,18.8,
Sofiane,46,0.06763285024154589,0.21242633926029966,0.2358974358974359,70,5,0.47560975609756095,0.030116149400691246,0.26464725343906204,0.012147774921056719,61,9.630434782608695,
Lucio Bukowski,2,0.0,0.010256410256410256,0.010256410256410256,0,8,0.1871401151631478,0.004163105281473709,6.701751541442845e-05,0.0,2,3.0,
Jolly,4,0.3333333333333333,0.020608536059714435,0.020512820512820513,2,7,0.2631578947368421,0.00494905231618632,0.003495491567581532,0.03076923076923077,3,5.25,
Nixon,1,0.0,0.0,0.005128205128205128,0,8,0.21984216459977451,0.0017484359224381844,0.0006512066447610012,0.0,1,3.0,
Alrima,4,0.16666666666666666,0.0018279963364649962,0.020512820512820513,1,7,0.3207236842105263,0.0031377144158885257,0.022060383758538128,0.007621951219512195,3,13.0,
Obia Le Chef,1,0.0,0.0,0.005128205128205128,0,7,0.2697095435684647,0.0014289293870595778,0.0028817486979026783,0.0,1,9.0,
Biwai,1,0.0,0.0,0.005128205128205128,0,8,0.2484076433121019,0.001579570477506126,0.0015948039098325328,0.0,1,4.0,
Sinik,14,0.23076923076923078,0.022933860577332623,0.07179487179487179,21,6,0.3987730061349693,0.009095050272465448,0.10138688256376882,0.01583880037488285,13,15.214285714285714,
Abou Tall,5,0.4,0.0011772168358585985,0.02564102564102564,4,6,0.35714285714285715,0.0034180645930643036,0.04871268631334534,0.017511520737327188,2,21.6,
Bu Hi,3,0.3333333333333333,0.0001321702352630188,0.015384615384615385,1,8,0.1873198847262248,0.004788294799484899,9.067577908115015e-05,0.5,2,3.0,
Mister C,1,0.0,0.0,0.005128205128205128,0,9,0.1822429906542056,0.0020175422864828025,6.654055261165051e-05,0.0,1,3.0,
Tortoz,6,0.2,0.012208654723564066,0.03076923076923077,3,7,0.3155339805825243,0.0052748376159099455,0.01281045565741774,0.017857142857142856,5,7.333333333333333,
Abou Debeing,9,0.4444444444444444,0.001618412988379405,0.046153846153846156,16,6,0.35390199637023595,0.005419891898702095,0.07167131629725201,0.031855588001061856,7,15.11111111111111,
Moka Boka,1,0.0,0.0,0.005128205128205128,0,7,0.2449748743718593,0.0020781921167865995,0.0013885934571505353,0.0,1,2.0,
Dehmo,4,0.16666666666666666,0.0004757788256850467,0.020512820512820513,1,7,0.3228476821192053,0.0029932387797369934,0.027780756139681975,0.0121765601217656,3,13.75,
Alivor,4,0.16666666666666666,0.0004054845960764948,0.020512820512820513,1,7,0.30660377358490565,0.003072183836576691,0.017445892357207303,0.02654867256637168,3,8.25,
Nor,1,0.0,0.0,0.005128205128205128,0,7,0.3125,0.0012698748161241277,0.017228340961314655,0.0,1,30.0,
Jokair,11,0.05454545454545454,0.021783887067917933,0.05641025641025641,3,7,0.3551912568306011,0.007957252139661674,0.049837040140373275,0.01096774193548387,10,9.636363636363637,
Osirus Jack,1,0.0,0.0,0.005128205128205128,0,7,0.2575957727873184,0.0014557402441854985,0.002756545827370704,0.0,1,9.0,
Volts Face,7,0.14285714285714285,0.006575353614949186,0.035897435897435895,3,7,0.3385416666666667,0.005117756638928302,0.029787833143303397,0.00870253164556962,6,10.0,
Rk,2,0.0,0.010345089220955127,0.010256410256410256,0,5,0.33276450511945393,0.0022239124901264,0.019773426845435548,0.007518796992481203,2,25.5,
Youssef Swatts,1,0.0,0.0,0.005128205128205128,0,7,0.26639344262295084,0.0014369476054018,0.0036975158560452553,0.0,1,11.0,
Zola,2,0.0,0.0018922652078527447,0.010256410256410256,0,6,0.3037383177570093,0.002223671433177357,0.013743613086637877,0.0,2,12.5,
Cor,1,0.0,0.0,0.005128205128205128,0,6,0.3228476821192053,0.001321795934492312,0.01911986707920376,0.0,1,46.0,
Driver,3,0.0,0.002246642222631715,0.015384615384615385,0,8,0.2559055118110236,0.003202340147519542,0.0021488499176833603,0.02702702702702703,3,5.0,
Jacky,4,0.3333333333333333,0.0022395196373617443,0.020512820512820513,2,7,0.2645861601085482,0.003564260694376207,0.007067970363717957,0.058823529411764705,3,6.25,
Cifack,1,0.0,0.0,0.005128205128205128,0,7,0.28550512445095166,0.001317440801805847,0.007324858629755127,0.0,1,14.0,
Hooss,4,0.0,0.011275064111773852,0.020512820512820513,0,7,0.3299492385786802,0.0038321196525145634,0.02207444605983285,0.003929273084479371,4,12.5,
Lartiste,11,0.07272727272727272,0.008997386564496394,0.05641025641025641,4,6,0.36654135338345867,0.007028292935580754,0.07192970640300428,0.019756427604871448,8,12.181818181818182,
Mister You,17,0.25,0.015349407846659086,0.08717948717948718,34,6,0.3884462151394422,0.009846530111465048,0.13823087195694445,0.01955060756228362,24,14.470588235294118,
Luv Resval,3,0.0,0.0009430566130171649,0.015384615384615385,0,7,0.2950075642965204,0.002728237724692095,0.007823449239312334,0.008130081300813009,3,8.0,
Salif,9,0.3611111111111111,0.0037427736505701646,0.046153846153846156,13,6,0.3742802303262956,0.005705963246248356,0.08500473275567691,0.02025364376301344,7,18.333333333333332,
Seth Gueko,30,0.1632183908045977,0.07555208330062455,0.15384615384615385,71,6,0.45348837209302323,0.017810405947178507,0.23846573293821793,0.014622440056130646,47,14.133333333333333,
Kalash,9,0.2777777777777778,0.009927749330024518,0.046153846153846156,10,7,0.35583941605839414,0.0058524007521477605,0.07521379611448588,0.01868460388639761,8,14.555555555555555,
Mrc,1,0.0,0.0,0.005128205128205128,0,7,0.28718703976435933,0.0013032504040903434,0.009598417727862655,0.0,1,15.0,
Hippocampe Fou,1,0.0,0.0,0.005128205128205128,0,9,0.15776699029126215,0.0025386821982210646,4.841788342989822e-06,0.0,1,2.0,
Lefa,22,0.12121212121212122,0.04834479795976784,0.11282051282051282,28,7,0.3971486761710794,0.013729607952330913,0.11740375664221407,0.016395486565675455,21,10.818181818181818,
Kalash Criminel,17,0.16911764705882354,0.022993513449764726,0.08717948717948718,23,6,0.4157782515991471,0.009986534013090858,0.15894292957823392,0.016385119542139757,18,17.0,
Medine,10,0.15555555555555556,0.018514993690432188,0.05128205128205128,7,6,0.3884462151394422,0.006948928571960006,0.08375466825765045,0.012660048913825349,8,17.1,
Amy,6,0.3333333333333333,0.00846492885338557,0.03076923076923077,5,6,0.33678756476683935,0.004370191892034084,0.05617365513884718,0.02660300136425648,4,15.166666666666666,
Vincenzo,2,1.0,0.0,0.010256410256410256,1,7,0.3140096618357488,0.0018346237603629235,0.024375855570742736,0.02280130293159609,1,26.5,
Black Brut,2,0.0,0.00031231779405006707,0.010256410256410256,0,7,0.2628032345013477,0.002368232617677184,0.00468473319961527,0.0,2,4.0,
Isk,2,0.0,7.29120537416231e-05,0.010256410256410256,0,6,0.3373702422145329,0.001810410627699821,0.03225983014061317,0.017699115044247787,2,33.5,
Black Kent,3,0.6666666666666666,0.00011960886220517856,0.015384615384615385,2,7,0.33276450511945393,0.0023782918257055207,0.032707384160747636,0.017222820236813777,2,24.666666666666668,
Badjer,1,0.0,0.0,0.005128205128205128,0,6,0.3228476821192053,0.001321795934492312,0.019119867079203753,0.0,1,46.0,
Douma Kalash,2,0.0,0.00011464223795706745,0.010256410256410256,0,6,0.3090332805071315,0.0018543547140200001,0.01716184945837235,0.008264462809917356,2,15.0,
Kozi,4,0.6666666666666666,0.0001854874016304518,0.020512820512820513,4,7,0.34574468085106386,0.002849489953691155,0.04887801072923761,0.014323607427055704,2,24.0,
Ashe 22,5,0.2,0.04240081025917449,0.02564102564102564,2,6,0.2927927927927928,0.005301113314065992,0.009046234284737609,0.015037593984962405,4,5.2,
Guy2Bezbar,13,0.07692307692307693,0.02052412693582859,0.06666666666666667,6,6,0.3764478764478765,0.008866308673713364,0.06528005206219833,0.00973630831643002,10,10.23076923076923,
